synthetic_id,generated_text,gt_is_help_request,gt_classification_category,gt_location_name,gt_google_map_url,gt_lat,gt_lng,gt_victim_name,gt_victim_phone,gt_victim_gender,gt_victim_nickname,gt_reporter_name,gt_reporter_phone,gt_reporter_gender,gt_reporter_nickname,gt_victims_json,gt_dead,gt_critical,gt_urgent,gt_safe,gt_child,gt_bedridden,gt_item_firstaid,gt_item_food,gt_item_energy,source_template_id
SYN_NER_011,"ใครก็ได้ช่วยด้วยครับ กู้ภัยหรือหน่วยงานไหนอยู่ใกล้พิกัดนี้แวะมาช่วยพวกเราหน่อยครับ 🙏

ตอนนี้มีคนติดอยู่ 3 คนครับ มีเด็ก 2 คนและผู้ใหญ่ 1 คน สถานการณ์แย่มากครับ
1. น้องผู้หญิงอายุ 10 ขวบ อาการคือ เด็กท้องเสีย ถ่ายเหลวเป็นน้ำพุ่งตลอดเวลา ถ่ายบ่อยจนหน้าซีดไร้แรง
2. น้องผู้หญิงอายุ 2 ขวบ น่าห่วงมากครับ อาการคือ หายใจเหนื่อยหอบมากจนซี่โครงบุ๋ม อกบุ๋มลงไปลึกมาก อาการวิกฤตแล้วครับ
3. พี่ชายอีกคน ขาหักแผลเปิด กระดูกโผล่แทงทะลุผิวหนังอกมา เลือดไหลซึมแดงชุ่ม

ตอนนี้ทุกคนต้องการอาหารด่วนมากครับ แล้วก็ต้องการเครื่องปั่นไฟหรือเพาเวอร์แบงค์ด้วยเพราะไม่มีไฟใช้เลยครับ

ติดต่อผม (ลอร์ด มโน ก้อนศิลา) ได้เลยครับ ตอนนี้กฤติพงษ์ ลิ้นลาก็ติดอยู่ด้วยกัน ขอความช่วยเหลือด่วนนะครับ ช่วยน้องๆ กับพี่เขาด้วยครับ 🚨😭

https://maps.app.goo.gl/C9r30MxNC7",True,help_request,,https://maps.app.goo.gl/C9r30MxNC7,0.0,0.0,กฤติพงษ์ ลิ้นลา,,male,,มโน ก้อนศิลา,,male,ลอร์ด,"[{""name"": null, ""age"": 10, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""เด็กท้องเสีย ถ่ายเหลวเป็นน้ำพุ่งตลอดเวลา ถ่ายบ่อยจนหน้าซีดไร้แรง"", ""is_bedridden"": false}, {""name"": null, ""age"": 2, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""หายใจเหนื่อยหอบมากจนซี่โครงบุ๋ม อกบุ๋มลงไปลึกมาก"", ""is_bedridden"": false}, {""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ขาหักแผลเปิด กระดูกโผล่แทงทะลุผิวหนังอกมา เลือดไหลซึมแดงชุ่ม"", ""is_bedridden"": false}]",0,1,2,0,2,0,0,14,1,1017
SYN_NER_012,ขอส่งกำลังใจให้ทุกคนในพื้นที่ประสบภัยนะคะ ขอให้ผ่านช่วงเวลานี้ไปได้โดยเร็ว ฟ้าหลังฝนต้องสวยงามเสมอ สู้ๆ นะคะทุกคน ขอให้ปลอดภัยกันทุกคนเลยค่ะ 🙏🏻🇹🇭❤️ #ส่งกำลังใจให้ผู้ประสบภัย #ขอให้ทุกคนปลอดภัย,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,1182
SYN_NER_013,อัปเดตสถานการณ์น้ำท่วมถนนเส้นหลักช่วงเช้านี้ครับ ระดับน้ำเริ่มทรงตัวแล้วแต่รถเล็กยังไม่แนะนำให้ผ่านนะครับ ใครจะสัญจรผ่านเส้นนี้ลองเช็คเส้นทางเลี่ยงกันดีๆ นะครับ ระมัดระวังกันด้วยครับทุกคน ⚠️🌊🏠,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,544
SYN_NER_014,"ช่วยด้วยครับ พิกัดบ้านห้วยทราย ต.แม่ยาว อ.เมืองเชียงราย ด่วนเลยครับ! 🚨

ตอนนี้คุณลุงวัย 69 ปี อาการหนักมากเพิ่งโดนกระแสไฟฟ้ารั่วช็อตร่างกาย สลบนิ่งไฟไหม้ตามผิวหนังหมดสติ ต้องการความช่วยเหลือด่วน ส่วนน้องปอ คำรังษี อีกคนตอนนี้ ปวดเมื่อยตามเนื้อตัว กล้ามเนื้อตึงเนื่องจากขนของหนีน้ำท่วม ครับ

ผมต้องการชุดปฐมพยาบาล 4 ชุด กับไฟฉาย/อุปกรณ์ให้แสงสว่าง 7 อัน ใครพอจะช่วยได้บ้างครับ ผมชื่อโฟล์ค ติดต่อผมได้ที่ 0999212032 นะครับ 😭🙏ช่วยแชร์ด้วยครับทุกคน",True,help_request,บ้านห้วยทราย ต.แม่ยาว อ.เมืองเชียงราย,,0.0,0.0,น้องปอ คำรังษี,,female,,นายฤทธิเกียรติ์ เครือสาร,0999212032,male,โฟล์ค,"[{""name"": ""น้องปอ คำรังษี"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""ปวดเมื่อยตามเนื้อตัว กล้ามเนื้อตึงเนื่องจากขนของหนีน้ำท่วม"", ""is_bedridden"": false}, {""name"": null, ""age"": 69, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""โดนกระแสไฟฟ้ารั่วช็อตร่างกาย สลบนิ่งไฟไหม้ตามผิวหนังหมดสติ"", ""is_bedridden"": false}]",0,1,0,1,0,0,4,0,7,909
SYN_NER_015,"ขอความช่วยเหลือด่วนค่ะทุกคน ใครพอจะมีกำลังช่วยได้บ้างคะ ตอนนี้พวกเราติดอยู่ที่สะพานข้ามแม่น้ำกก ตำบลเวียงยอง อำเภอแม่สาย จังหวัดเชียงราย พิกัดพื้นที่ 14.7936, 103.513 ค่ะ 😭🙏

ตอนนี้มีคนเจ็บหนักกันหลายคนเลยค่ะ 
- แฟนหนูอายุ 25 ปี ตอนนี้คนไข้อาเจียนตลอดเวลา ทานอะไรไม่ได้เลย ดื่มน้ำก็อ้วกออกหมด ร่างกายเพลียจัด
- ลูกสาวคนเล็ก น้องโดนไฟลวกผิวหนังไหม้แดงพุพอง บ่นเจ็บปวดแสบร้อนทรมานค่ะ
- แล้วก็น้องนิสรา วัย 8 ขวบ อาการน่าห่วงมากค่ะ ตอนนี้สับสน ร้องกรีดร้องสลับกับซึม เรียกชื่อแล้วไม่หันมามอง

พวกเราขาดทั้งอาหาร น้ำดื่ม แล้วก็พวกอุปกรณ์ทำแผล ขาดไฟฉายด้วยค่ะ แบตจะหมดแล้ว ใครอยู่ใกล้รบกวนช่วยพวกเราด้วยนะคะ ภักดิพร โทร 0871828046 ค่ะ 🚨🆘",True,help_request,สะพานข้ามแม่น้ำกก ตำบลเวียงยอง อำเภอแม่สาย จังหวัดเชียงราย,,14.7936,103.513,ภักดิพร,0871828046,female,,ภักดิพร,0871828046,female,,"[{""name"": null, ""age"": 25, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""คนไข้อาเจียนตลอดเวลา ทานอะไรไม่ได้เลย ดื่มน้ำก็อ้วกออกหมด ร่างกายเพลียจัด"", ""is_bedridden"": false}, {""name"": null, ""age"": 5, ""age_group"": ""child"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""น้องโดนไฟลวกผิวหนังไหม้แดงพุพอง บ่นเจ็บปวดแสบร้อนทรมาน"", ""is_bedridden"": false}, {""name"": ""น้องนิสรา"", ""age"": 8, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""สับสน ร้องกรีดร้องสลับกับซึม เรียกชื่อแล้วไม่หันมามอง"", ""is_bedridden"": false}]",0,1,2,0,2,0,1,1,17,106
SYN_NER_016,"ช่วยด้วยค่ะ ตอนนี้หนูติดอยู่พิกัด 17.709, 104.4498 สถานการณ์แย่มากเลยค่ะ 😭 

ตัวหนู (ชื่อแอม อายุ 45 ปี) ตอนนี้แย่มากค่ะ ผู้ป่วยปัสสาวะไม่ออกมานานกว่า 18 ชั่วโมงแล้ว ท้องน้อยตึงบวมเป่งทรมานจัด แล้วหนักสุดคือน้องหลุยส์ (อายุ 2 ขวบ) ด้วยค่ะ ตอนนี้น้องคือทารกอายุ 1 เดือน ตัวเย็นเฉียบต่ำกว่า 35 องศา ซึมมากไม่ยอมกินนม ต้องการความช่วยเหลือด่วนเลยค่ะ! 🚨

ใครมีอุปกรณ์ปฐมพยาบาลบ้างไหมคะ หรือรบกวนส่งเจ้าหน้าที่มาด่วนเลย อาหารก็ไม่มีเหลือแล้วค่ะ ไฟฟ้าส่องสว่างก็ไม่มีด่วนจริงๆ ใครช่วยได้ติดต่อหนูมาได้เลยนะคะ 0654396176 🙏",True,help_request,,,17.709,104.4498,น้าแอม,0654396176,female,แอม,น้าแอม,0654396176,female,แอม,"[{""name"": null, ""age"": 45, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ผู้ป่วยปัสสาวะไม่ออกมานานกว่า 18 ชั่วโมงแล้ว ท้องน้อยตึงบวมเป่งทรมานจัด"", ""is_bedridden"": false}, {""name"": ""น้องหลุยส์"", ""age"": 2, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ทารกอายุ 1 เดือน ตัวเย็นเฉียบต่ำกว่า 35 องศา ซึมมากไม่ยอมกินนม"", ""is_bedridden"": false}]",0,1,1,0,1,0,1,10,1,187
SYN_NER_017,"ใครก็ได้ช่วยด้วยค่ะ!! ตอนนี้วิกฤตมาก เราติดอยู่ที่วัดสระแก้ว ตำบลสระแก้ว อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี พิกัด 19.5942 100.1105 นะคะ แถวนั้นหนีไปไหนไม่ได้เลย 😭

ในบ้านตอนนี้มีคุณชุมาพร (ปิ่น) อยู่ด้วย แล้วก็มีคนท้องปวดท้องเกร็งตัวงอรุนแรงเฉียบพลัน มีมูกเลือดแดงสดไหลนอง อันตรายมากค่ะ!! แล้วยังมีหลานสาววัย 4 ขวบอีกคน เด็กท้องเสีย ถ่ายเหลวเป็นน้ำพุ่งตลอดเวลา ถ่ายบ่อยจนหน้าซีดไร้แรง ตอนนี้ของกินกับพวกอุปกรณ์ทำแผลหมดเกลี้ยงเลยค่ะ ⚠️ ลำพังยายคนเดียวรับมือไม่ไหวแล้วจริงๆ ขอคนมาช่วยด่วนๆ เลยนะคะ

ติดต่อยายเมธินี กัลยาณธรรม ได้ที่เบอร์ 096 754 7847 นะคะ ขอบคุณค่ะ 

พิกัดในแมพนะคะ 🙏 https://maps.app.goo.gl/saEMmMyJMg",True,help_request,วัดสระแก้ว ตำบลสระแก้ว อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี,https://maps.app.goo.gl/saEMmMyJMg,19.5942,100.1105,นางชุมาพร,,female,ปิ่น,ยายเมธินี กัลยาณธรรม,096 754 7847,female,,"[{""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""คนท้องปวดท้องเกร็งตัวงอรุนแรงเฉียบพลัน มีมูกเลือดแดงสดไหลนอง"", ""is_bedridden"": false}, {""name"": null, ""age"": 4, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""เด็กท้องเสีย ถ่ายเหลวเป็นน้ำพุ่งตลอดเวลา ถ่ายบ่อยจนหน้าซีดไร้แรง"", ""is_bedridden"": false}]",1,1,1,0,1,0,5,1,1,204
SYN_NER_018,ขอส่งกำลังใจให้พี่น้องทุกคนที่กำลังเผชิญกับสถานการณ์น้ำท่วมอยู่ในขณะนี้นะคะ ขอให้ทุกคนปลอดภัย สถานการณ์คลี่คลายโดยเร็ววัน ขอให้ผ่านพ้นวิกฤตนี้ไปได้ด้วยดีนะคะ สู้ๆ ค่ะ 🙏✌️💙,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,4
SYN_NER_019,ขอส่งกำลังใจให้ทุกคนในพื้นที่ประสบภัยนะคะ ขอให้สถานการณ์คลี่คลายโดยเร็วที่สุดและขอให้ทุกคนปลอดภัยนะคะ สู้ๆ ค่ะ เป็นกำลังใจให้พี่น้องอาสาสมัครและเจ้าหน้าที่ทุกคนด้วยค่ะ 🙏🏻🤍✌🏻,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,198
SYN_NER_020,ตอนนี้ทางกลุ่มเราเปิดรับบริจาคเป็นพวกอาหารแห้ง น้ำดื่ม แล้วก็ยารักษาโรคเบื้องต้นนะคะ เพื่อเอาไปสมทบทำถุงยังชีพเตรียมส่งไปให้พี่น้องในจุดที่ได้รับผลกระทบค่ะ ใครสะดวกสามารถทักแชทสอบถามจุดรับของได้เลยนะคะ ส่งต่อกำลังใจให้ทุกคนปลอดภัยค่ะ 🙏📦❤️,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,866
SYN_NER_021,"สวัสดีทุกคน ช่วยด้วยค่ะ อาปุยฝ้ายเองนะคะ พอดีน้าวรางคณา ธาราศักดิ์ (ผู้โทร 099-325-0941) แกป่วยค่ะ ตอนนี้แกมีอาการตาพร่ามัวมองไม่เห็นเฉียบพลันไปข้างหนึ่ง ตาแดงอักเสบปวดตา ทรมานมากเลยค่ะ 

ตอนนี้หิวมากด้วย ไม่มีของกินเลย รบกวนใครพอจะเข้าไปดูหรือช่วยเหลือตรงนี้ได้บ้างคะ พิกัดตามลิงก์นี้เลย https://maps.app.goo.gl/N654IawDwy ขอบคุณมากค่ะ 🙏😭",True,help_request,,https://maps.app.goo.gl/N654IawDwy,0.0,0.0,น้าวรางคณา ธาราศักดิ์,099-325-0941,female,,อาปุยฝ้าย,,female,ปุยฝ้าย,"[{""name"": null, ""age"": 34, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ตาพร่ามัวมองไม่เห็นเฉียบพลันไปข้างหนึ่ง ตาแดงอักเสบปวดตา"", ""is_bedridden"": false}]",0,0,1,0,0,0,0,1,0,230
